codigo_ocorrencia,codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,total_recomendacoes,ocorrencia_dia_hora,regiao
79021,79021,INCIDENTE,LONDRINA,PR,SBLO,0,2019-11-29 21:10:00,SUL
79022,79022,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,0,2019-11-30 01:49:00,SUDESTE
79032,79032,ACIDENTE,CAIEIRAS,SP,NA,0,2019-12-02 09:00:00,SUDESTE
79023,79023,INCIDENTE,RECIFE,PE,NA,0,2019-12-03 12:45:00,NORTEDESTE
79024,79024,INCIDENTE,QUIXADÁ,CE,SNQX,0,2019-12-03 11:10:00,NORTEDESTE
79033,79033,ACIDENTE,OURILÂNDIA DO NORTE,PA,NA,0,2019-12-03 13:50:00,NORTE
79025,79025,INCIDENTE GRAVE,VERA,MT,NA,0,2019-12-04 20:00:00,CENTRO
79026,79026,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,0,2019-12-05 15:30:00,SUDESTE
79027,79027,INCIDENTE,LONDRINA,PR,SSOK,0,2019-12-06 14:45:00,SUL
79034,79034,ACIDENTE,RIO GRANDE,RS,NA,0,2019-12-06 10:50:00,SUL
79028,79028,INCIDENTE,CURITIBA,PR,SBBI,0,2019-12-07 20:23:00,SUL
79083,79083,INCIDENTE,RECIFE,PE,NA,0,2019-12-07 18:50:00,NORTEDESTE
79082,79082,INCIDENTE,CONFINS,MG,NA,0,2019-12-10 15:00:00,SUDESTE
79029,79029,INCIDENTE,FLORIANÓPOLIS,SC,SBFL,0,2019-12-11 13:31:00,SUL
79035,79035,ACIDENTE,SÃO MANOEL DO PARANÁ,PR,NA,0,2019-12-13 21:40:00,SUL
79081,79081,INCIDENTE,LONDRINA,PR,SBLO,0,2019-12-13 13:20:00,SUL
79030,79030,INCIDENTE GRAVE,BRAGANÇA PAULISTA,SP,NA,0,2019-12-16 09:00:00,SUDESTE
79039,79039,INCIDENTE GRAVE,GOIÂNIA,GO,SBGO,0,2019-12-16 12:20:00,CENTRO
79080,79080,INCIDENTE,BELO HORIZONTE,MG,NA,0,2019-12-16 12:40:00,SUDESTE
79240,79240,INCIDENTE,RIBAS DO RIO PARDO,MS,NA,0,2019-12-16 19:45:00,CENTRO
79079,79079,INCIDENTE,SÃO PAULO,SP,NA,0,2019-12-17 10:45:00,SUDESTE
79038,79038,INCIDENTE GRAVE,GOIÂNIA,GO,SBGO,0,2019-12-18 14:30:00,CENTRO
79078,79078,INCIDENTE,RIO DE JANEIRO,RJ,NA,0,2019-12-18 01:48:00,SUDESTE
79037,79037,INCIDENTE,BRASÍLIA,DF,SBBR,0,2019-12-19 21:40:00,CENTRO
79077,79077,INCIDENTE,SÃO PAULO,SP,NA,0,2019-12-19 22:35:00,SUDESTE
79042,79042,ACIDENTE,TUPACIGUARA,MG,NA,2,2019-12-20 20:30:00,SUDESTE
79076,79076,INCIDENTE,CARAUARI,AM,SWCA,0,2019-12-20 15:00:00,NORTE
79203,79203,INCIDENTE,FLORIANÓPOLIS,SC,SBFL,0,2019-12-20 16:37:00,SUL
79523,79523,INCIDENTE GRAVE,CURITIBA,PR,SBBI,0,2019-12-22 17:40:00,SUL
79036,79036,ACIDENTE,ARROIO GRANDE,RS,NA,0,2019-12-23 19:00:00,SUL
79050,79050,ACIDENTE,FEIJÓ,AC,NA,0,2019-12-23 20:15:00,NORTE
79057,79057,ACIDENTE,LEOPOLDO DE BULHÕES,GO,NA,0,2019-12-23 11:30:00,CENTRO
79075,79075,INCIDENTE,CAMPINAS,SP,NA,0,2019-12-24 09:00:00,SUDESTE
79048,79048,ACIDENTE,ITAMBÉ,PR,NA,0,2019-12-25 20:00:00,SUL
79073,79073,INCIDENTE,PORTO ALEGRE,RS,NA,0,2019-12-26 18:50:00,SUL
79074,79074,INCIDENTE,BELO HORIZONTE,MG,NA,0,2019-12-26 22:30:00,SUDESTE
79071,79071,INCIDENTE,CAMPINAS,SP,NA,0,2019-12-27 21:20:00,SUDESTE
79072,79072,INCIDENTE,CHAPECÓ,SC,NA,0,2019-12-27 23:24:00,SUL
79045,79045,ACIDENTE,GUAÍRA,SP,NA,0,2019-12-28 09:30:00,SUDESTE
79070,79070,INCIDENTE,BELÉM,PA,NA,0,2019-12-30 18:55:00,NORTE
79068,79068,INCIDENTE,BELÉM,PA,NA,0,2019-12-31 22:55:00,NORTE
79102,79102,ACIDENTE,JUIZ DE FORA,MG,SBJF,0,2019-12-31 18:20:00,SUDESTE
79043,79043,ACIDENTE,CAMANDUCAIA,MG,SNEJ,1,2020-01-01 21:00:00,SUDESTE
79044,79044,INCIDENTE GRAVE,SALVADOR,BA,SBSV,0,2020-01-03 16:35:00,NORTEDESTE
79049,79049,ACIDENTE,LEME,SP,NA,0,2020-01-03 21:15:00,SUDESTE
79132,79132,INCIDENTE,SÃO MATEUS,ES,NA,0,2020-01-03 14:10:00,SUDESTE
79182,79182,INCIDENTE,GOIÂNIA,GO,SBGO,0,2020-01-03 11:10:00,CENTRO
79051,79051,INCIDENTE,SALVADOR,BA,SBSV,0,2020-01-04 13:30:00,NORTEDESTE
79052,79052,INCIDENTE,CAMPINAS,SP,SBKP,0,2020-01-05 17:15:00,SUDESTE
79054,79054,INCIDENTE,CAMPINAS,SP,SBKP,0,2020-01-08 13:30:00,SUDESTE
79055,79055,ACIDENTE,RONDONÓPOLIS,MT,SWMZ,0,2020-01-09 20:00:00,CENTRO
79056,79056,INCIDENTE,CONFINS,MG,SBRF,0,2020-01-09 18:44:00,SUDESTE
79134,79134,INCIDENTE,ERECHIM,RS,SSER,0,2020-01-09 20:52:00,SUL
79130,79130,INCIDENTE,RIBEIRÃO PRETO,SP,SBRP,0,2020-01-10 21:09:00,SUDESTE
79109,79109,ACIDENTE,TAMBOARA,PR,NA,0,2020-01-11 08:30:00,SUL
79135,79135,INCIDENTE,CUIABÁ,MT,NA,0,2020-01-11 16:37:00,CENTRO
79136,79136,INCIDENTE,BRASÍLIA,DF,NA,0,2020-01-12 02:32:00,CENTRO
79118,79118,INCIDENTE GRAVE,CURITIBA,PR,SBBI,0,2020-01-13 20:10:00,SUL
79120,79120,ACIDENTE,CRUZ ALTA,RS,NA,1,2020-01-15 09:30:00,SUL
79140,79140,INCIDENTE,BELO HORIZONTE,MG,SBCF,0,2020-01-15 10:43:00,SUDESTE
79141,79141,INCIDENTE,CAMPINAS,SP,NA,0,2020-01-15 14:53:00,SUDESTE
79142,79142,INCIDENTE,SALVADOR,BA,NA,0,2020-01-15 10:43:00,NORTEDESTE
79262,79262,INCIDENTE,SÃO PAULO,SP,SBMT,0,2020-01-15 18:13:00,SUDESTE
79100,79100,INCIDENTE GRAVE,LADÁRIO,MS,SSVA,0,2020-01-16 16:15:00,CENTRO
79125,79125,INCIDENTE GRAVE,CAUCAIA,CE,SBFZ,2,2020-01-16 01:10:00,NORTEDESTE
79143,79143,INCIDENTE,CURITIBA,PR,SBCT,0,2020-01-16 13:05:00,SUL
79179,79179,ACIDENTE,SÃO PAULO,SP,NA,1,2020-01-16 12:00:00,SUDESTE
79098,79098,ACIDENTE,GUIRATINGA,MT,NA,0,2020-01-17 15:30:00,CENTRO
79099,79099,INCIDENTE GRAVE,EDÉIA,GO,NA,0,2020-01-17 21:00:00,CENTRO
79211,79211,INCIDENTE,CAARAPÓ,MS,NA,0,2020-01-17 19:00:00,CENTRO
79121,79121,ACIDENTE,RIO BRANCO,AC,NA,0,2020-01-18 15:15:00,NORTE
79147,79147,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,0,2020-01-19 14:30:00,SUDESTE
79266,79266,INCIDENTE,PARÁ DE MINAS,MG,SNPA,0,2020-01-19 09:10:00,SUDESTE
